review_id,sentences_ids,sentences_texts,sentences_opinions
475298,id_2,Food is great and inexpensive.,Food positive
630914,id_0,The food was actually aweful.,food negative
1655521,id_2,"The food was very good, a great deal, and the place its self was great.",food positive <sep> place positive
1032695,id_2,I had the duck breast special on my last visit and it was incredible.,duck breast special positive
475512,id_3,If you like your music blasted and the system isnt that great and if you want to pay at least 100 dollar bottle minimun then you'll love it here.,bottle negative <sep> music negative
1451107,id_1,Our family never expected such incredible entertainment in a restaurant.,entertainment positive
1227999,id_0,"When we stumbled on Leon, we thought that we had found quite the gem BUT, we were certainly wrong.",Leon negative
757762,id_2,He offers subpar service and has no personality.,service negative
1632929,id_4,"When my dessert came, there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift, and said he knew it was a special occassion of some sort.",waiter positive
1340075,id_0,Big Wong gets big Ups for a fine establishment.,Big Wong positive
1062641,id_3,Service is top notch.,Service positive
1746113,id_3,"The fish was really,really fresh.",fish positive
512925,id_1,I really loved the different and inovated touch that's the cheff gives to the food.,cheff positive
485966,id_1,The place was quiet and delightful.,place positive
494850,id_3,The food now is inconsistent.,food negative
1470334,id_4,The lox is always fresh too.,lox positive
565344,id_2,The service was fast and friendly and the food was very tasty and they had the best hot sauce to add to your meals.,service positive <sep> food positive <sep> hot sauce positive
1655504,id_5,"Be sure to try the seasonal, and always delicious, specials.",specials positive
757762,id_5,There is no excuse for such lousy service!,service negative
1297844,id_4,The workers there also absolutely load the bagel with cream cheese (gets a little messy).,bagel negative
1286916,id_3,It's simply the best meal in NYC.,meal positive
735448,id_3,even the wine by the glass was good.,wine by the glass positive
470488,id_3,The rice was poor quality and was cooked so badly it was hard.,rice negative
1289424,id_2,After really enjoying ourselves at the bar we sat down at a table and had dinner.,bar positive
1058221,id_3,"however, it's the service that leaves a bad taste in my mouth.",service negative
935633,id_3,"I found it on a cold night, the perfect spot to warm up.",spot positive
1417496,id_4,"Looking around, I saw a room full of New Yorkers enjoying a real meal in a real restaurant, not a clubhouse of the fabulous trying to be seen.",meal positive <sep> restaurant positive
1212346,id_4,Tiny dessert was $8.00...just plain overpriced for what it is.,dessert negative
